Element,Atomic Number,Mass Number,Neutron Count,Proton Count,Binding Energy (MeV),Half-Life (seconds),Decay Mode,Stability Index,Predicted Existence Probability (%)
Lithium,3,12,9,3,4.858,180412.988057,Spontaneous Fission,0.582,93.48
Neon,10,37,27,10,3.719,566756.130772,Beta,0.013,61.98
Lithium,3,12,9,3,1.267,727473.447404,Alpha,0.7,91.15
Fluorine,9,29,20,9,2.124,832104.523937,Alpha,0.593,98.96
Hydrogen,1,3,2,1,4.622,610101.698551,Gamma,0.466,51.72
Oxygen,8,19,11,8,8.48,870423.346527,Spontaneous Fission,0.346,89.93
Boron,5,16,11,5,7.494,906558.897833,Gamma,0.604,77.56
Helium,2,8,6,2,7.014,231735.222532,Gamma,0.221,97.96
Carbon,6,17,11,6,5.118,325056.542373,Beta,0.236,84.41
Boron,5,12,7,5,8.403,inf,Stable,0.928,87.16
Beryllium,4,10,6,4,8.787,153032.08543,Beta,0.171,94.3
Neon,10,23,13,10,1.105,834590.112505,Beta,0.242,90.89
Oxygen,8,24,16,8,7.944,992201.482429,Beta,0.527,61.63
Hydrogen,1,3,2,1,1.788,inf,Stable,0.785,81.61
Nitrogen,7,20,13,7,3.708,792035.968703,Spontaneous Fission,0.144,90.33
Hydrogen,1,3,2,1,7.748,366855.476396,Gamma,0.736,72.98
Hydrogen,1,2,1,1,7.289,97631.510081,Alpha,0.61,76.88
Fluorine,9,23,14,9,9.687,803390.858705,Beta,0.543,67.64
Carbon,6,19,13,6,8.026,588320.914499,Gamma,0.435,58.62
Fluorine,9,25,16,9,7.883,401769.547692,Spontaneous Fission,0.758,84.49
Lithium,3,8,5,3,2.852,406948.844745,Alpha,0.262,51.8
Boron,5,19,14,5,7.636,395150.349581,Gamma,0.043,99.28
Fluorine,9,31,22,9,1.061,33946.104375,Gamma,0.131,55.8
Neon,10,22,12,10,7.272,333751.302565,Alpha,0.452,74.24
Carbon,6,14,8,6,5.258,506622.037048,Beta,0.033,60.33
Lithium,3,10,7,3,5.346,995572.384372,Beta,0.657,67.94
Helium,2,7,5,2,4.225,986546.266002,Alpha,0.167,81.03
Fluorine,9,22,13,9,6.553,974686.493615,Gamma,0.343,95.91
Helium,2,4,2,2,5.112,inf,Stable,0.764,97.24
Oxygen,8,18,10,8,5.029,144156.437914,Gamma,0.73,81.59
Neon,10,34,24,10,4.112,9792.085715,Alpha,0.177,80.17
Carbon,6,16,10,6,2.9,150978.180166,Alpha,0.698,70.3
Boron,5,13,8,5,4.239,650510.88343,Gamma,0.507,71.39
Nitrogen,7,14,7,7,7.84,438979.906577,Alpha,0.889,82.96
Beryllium,4,8,4,4,7.443,inf,Stable,0.958,65.47
Nitrogen,7,26,19,7,1.282,698122.741998,Spontaneous Fission,0.894,78.67
Fluorine,9,23,14,9,6.976,760121.1318,Alpha,0.265,94.69
Hydrogen,1,3,2,1,4.609,888560.645844,Spontaneous Fission,0.963,68.2
Lithium,3,12,9,3,7.369,576036.38666,Alpha,0.295,68.74
Hydrogen,1,4,3,1,9.377,62757.951976,Spontaneous Fission,0.253,83.05
Carbon,6,16,10,6,2.661,inf,Stable,0.719,58.89
Carbon,6,24,18,6,2.382,196714.231419,Alpha,0.282,90.31
Carbon,6,16,10,6,6.665,609172.955407,Gamma,0.24,50.75
Boron,5,15,10,5,8.334,610139.120425,Gamma,0.217,81.71
Oxygen,8,19,11,8,9.361,174565.606615,Alpha,0.603,63.6
Lithium,3,7,4,3,4.255,342148.076503,Alpha,0.418,54.95
Neon,10,21,11,10,5.862,491391.086965,Gamma,0.994,85.48
Beryllium,4,14,10,4,4.834,79955.94566,Spontaneous Fission,0.191,96.54
Fluorine,9,20,11,9,9.97,48283.733762,Spontaneous Fission,0.391,60.05
Fluorine,9,18,9,9,6.228,538498.874891,Spontaneous Fission,0.06,97.96
Fluorine,9,36,27,9,4.152,575393.923651,Gamma,0.021,58.35
Boron,5,18,13,5,8.749,886025.252302,Spontaneous Fission,0.811,71.38
Nitrogen,7,21,14,7,7.866,131142.702517,Alpha,0.558,58.45
Nitrogen,7,16,9,7,8.904,351713.382603,Spontaneous Fission,0.737,80.55
Carbon,6,18,12,6,6.806,584236.984356,Alpha,0.639,79.33
Beryllium,4,10,6,4,9.976,296861.345846,Spontaneous Fission,0.425,52.23
Oxygen,8,20,12,8,9.557,948120.25908,Alpha,0.067,84.54
Oxygen,8,20,12,8,8.085,780594.081137,Alpha,0.986,98.04
Nitrogen,7,27,20,7,4.449,82407.832417,Beta,0.195,84.03
Fluorine,9,20,11,9,1.906,581737.762644,Spontaneous Fission,0.726,75.76
Beryllium,4,16,12,4,1.776,inf,Stable,0.129,69.99
Neon,10,37,27,10,7.837,75319.562774,Beta,0.991,67.72
Beryllium,4,13,9,4,5.095,inf,Stable,0.039,98.85
Hydrogen,1,3,2,1,3.248,721043.203808,Alpha,0.908,83.71
Beryllium,4,8,4,4,6.468,282537.8128,Spontaneous Fission,0.252,61.91
Nitrogen,7,16,9,7,7.052,596596.71379,Beta,0.632,82.01
Oxygen,8,19,11,8,3.729,100707.185682,Spontaneous Fission,0.061,51.19
Nitrogen,7,27,20,7,1.574,inf,Stable,0.044,88.9
Neon,10,30,20,10,6.592,inf,Stable,0.875,99.53
Helium,2,5,3,2,6.084,72837.074539,Beta,0.303,58.0
Boron,5,13,8,5,9.979,764513.047619,Spontaneous Fission,0.876,84.77
Beryllium,4,10,6,4,1.613,744705.449748,Gamma,0.713,86.65
Fluorine,9,18,9,9,9.293,inf,Stable,0.239,83.82
Boron,5,18,13,5,5.993,473779.143884,Spontaneous Fission,0.993,80.57
Helium,2,4,2,2,5.562,189014.61795,Alpha,0.503,66.77
Helium,2,4,2,2,7.722,17498.94361,Gamma,0.57,98.38
Boron,5,15,10,5,5.054,665446.807428,Spontaneous Fission,0.694,75.51
Helium,2,5,3,2,4.128,779788.717958,Alpha,0.999,85.56
Helium,2,8,6,2,4.08,456372.050442,Alpha,0.122,97.76
Helium,2,6,4,2,1.356,64621.519588,Gamma,0.867,56.92
Nitrogen,7,25,18,7,7.46,556089.42386,Alpha,0.463,51.68
Fluorine,9,22,13,9,4.286,201022.441314,Spontaneous Fission,0.485,54.61
Boron,5,19,14,5,6.494,inf,Stable,0.729,97.05
Neon,10,30,20,10,5.971,711908.110836,Gamma,0.767,77.8
Lithium,3,12,9,3,5.643,261507.144773,Spontaneous Fission,0.525,56.19
Hydrogen,1,2,1,1,2.913,534236.416526,Gamma,0.394,71.95
Fluorine,9,33,24,9,1.497,inf,Stable,0.581,67.75
Boron,5,11,6,5,6.996,534459.034259,Gamma,0.525,91.02
Lithium,3,6,3,3,8.941,727872.418193,Alpha,0.263,89.78
Carbon,6,16,10,6,4.888,470139.625792,Spontaneous Fission,0.474,78.48
Hydrogen,1,4,3,1,1.481,802476.983393,Spontaneous Fission,0.386,56.62
Boron,5,15,10,5,2.5,691408.382614,Gamma,0.319,76.45
Fluorine,9,36,27,9,9.467,214180.23105,Beta,0.003,58.78
Fluorine,9,30,21,9,6.334,697808.819769,Spontaneous Fission,0.567,87.89
Hydrogen,1,4,3,1,6.41,356070.399664,Beta,0.894,61.13
Beryllium,4,11,7,4,8.387,452917.437759,Beta,0.337,90.81
Hydrogen,1,2,1,1,5.193,425610.802536,Alpha,0.67,55.94
Boron,5,16,11,5,1.562,293877.557333,Spontaneous Fission,0.014,79.19
Hydrogen,1,2,1,1,4.816,583639.333088,Beta,0.472,80.55
Beryllium,4,16,12,4,6.047,235621.970133,Gamma,0.288,50.0
Lithium,3,7,4,3,5.42,inf,Stable,0.058,85.38
Nitrogen,7,25,18,7,8.33,781556.936615,Spontaneous Fission,0.873,93.33
Boron,5,12,7,5,1.469,262739.318644,Beta,0.689,94.81
Beryllium,4,11,7,4,4.039,959241.760354,Alpha,0.721,68.06
Carbon,6,23,17,6,7.909,811231.419357,Alpha,0.578,66.31
Hydrogen,1,3,2,1,4.476,315921.557441,Spontaneous Fission,0.82,55.73
Fluorine,9,36,27,9,4.774,inf,Stable,0.586,80.67
Neon,10,38,28,10,5.514,inf,Stable,0.274,54.68
Nitrogen,7,25,18,7,3.138,647552.207363,Beta,0.25,83.92
Helium,2,4,2,2,2.202,622196.23514,Gamma,0.265,66.64
Carbon,6,16,10,6,7.779,668367.75579,Beta,0.192,70.32
Lithium,3,11,8,3,3.913,565011.713927,Beta,0.493,68.26
Nitrogen,7,28,21,7,2.398,118331.838841,Spontaneous Fission,0.868,58.26
Beryllium,4,15,11,4,6.1,494742.69931,Alpha,0.917,58.57
Nitrogen,7,27,20,7,8.037,inf,Stable,0.671,89.55
Fluorine,9,22,13,9,4.763,913692.994676,Beta,0.271,81.35
Oxygen,8,21,13,8,6.467,686064.035084,Beta,0.779,89.89
Lithium,3,12,9,3,6.084,inf,Stable,0.36,99.6
Nitrogen,7,16,9,7,9.929,184336.526906,Alpha,0.003,65.44
Fluorine,9,35,26,9,8.458,563540.499812,Alpha,0.927,77.83
Beryllium,4,8,4,4,8.281,567751.094076,Spontaneous Fission,0.528,90.52
Helium,2,5,3,2,8.827,139234.649876,Gamma,0.949,64.03
Lithium,3,6,3,3,8.808,842987.969854,Beta,0.258,90.93
Lithium,3,11,8,3,6.314,67372.440907,Spontaneous Fission,0.828,57.88
Hydrogen,1,4,3,1,5.111,820838.684681,Beta,0.198,61.94
Nitrogen,7,25,18,7,8.819,inf,Stable,0.663,92.51
Lithium,3,7,4,3,5.866,inf,Stable,0.462,99.8
Beryllium,4,8,4,4,2.724,953656.771448,Gamma,0.959,82.61
Boron,5,11,6,5,5.046,110913.336036,Beta,0.438,83.02
Carbon,6,21,15,6,1.414,183035.724141,Beta,0.067,60.88
Hydrogen,1,3,2,1,7.97,2387.316345,Beta,0.721,61.22
Nitrogen,7,16,9,7,5.097,inf,Stable,0.164,74.89
Neon,10,34,24,10,4.563,784088.74617,Alpha,0.534,97.41
Helium,2,7,5,2,5.501,310900.908221,Spontaneous Fission,0.203,52.23
Lithium,3,8,5,3,6.447,359229.199205,Gamma,0.141,99.27
Lithium,3,10,7,3,5.035,338457.673883,Spontaneous Fission,0.717,60.06
Helium,2,4,2,2,9.307,inf,Stable,0.443,59.74
Hydrogen,1,4,3,1,1.796,505705.522969,Alpha,0.399,76.64
Lithium,3,9,6,3,1.14,508693.275228,Alpha,0.516,63.42
Carbon,6,24,18,6,3.104,429334.544879,Spontaneous Fission,0.385,56.2
Beryllium,4,13,9,4,4.786,614980.640186,Alpha,0.2,85.09
Neon,10,23,13,10,6.152,658987.806845,Gamma,0.257,91.0
Fluorine,9,25,16,9,2.647,614371.825056,Beta,0.161,51.53
Oxygen,8,29,21,8,6.936,inf,Stable,0.984,51.5
Oxygen,8,19,11,8,3.992,585220.209473,Beta,0.189,84.73
Fluorine,9,20,11,9,3.945,67240.337074,Alpha,0.286,84.0
Lithium,3,11,8,3,1.611,706690.07484,Alpha,0.498,84.14
Nitrogen,7,14,7,7,5.584,690370.456567,Gamma,0.751,87.02
Helium,2,8,6,2,4.994,362134.84632,Gamma,0.489,58.0
Lithium,3,7,4,3,1.685,298291.998213,Gamma,0.925,96.32
Nitrogen,7,16,9,7,9.185,513442.684056,Beta,0.436,57.55
Beryllium,4,14,10,4,4.145,122464.038439,Alpha,1.0,94.78
Carbon,6,19,13,6,1.434,836374.993747,Beta,0.289,94.8
Nitrogen,7,28,21,7,4.957,inf,Stable,0.987,96.24
Hydrogen,1,3,2,1,4.608,372738.785463,Beta,0.221,90.49
Nitrogen,7,19,12,7,7.623,475423.901871,Beta,0.654,80.32
Hydrogen,1,4,3,1,7.03,356434.460165,Beta,0.851,54.77
Hydrogen,1,3,2,1,1.497,668813.252047,Spontaneous Fission,0.746,72.49
Nitrogen,7,24,17,7,3.943,67872.468961,Spontaneous Fission,0.525,68.51
Nitrogen,7,14,7,7,3.576,957268.807756,Beta,0.796,79.21
Lithium,3,12,9,3,3.726,64364.213693,Beta,0.235,96.14
Carbon,6,13,7,6,7.356,624278.325303,Alpha,0.323,67.58
Helium,2,5,3,2,6.63,inf,Stable,0.118,53.38
Hydrogen,1,4,3,1,8.03,224536.769478,Spontaneous Fission,0.643,55.15
Boron,5,20,15,5,9.489,458313.461468,Alpha,0.672,58.53
Neon,10,34,24,10,9.654,inf,Stable,0.947,93.91
Carbon,6,13,7,6,8.69,328925.352513,Spontaneous Fission,0.372,51.84
Nitrogen,7,26,19,7,9.799,292515.223743,Beta,0.017,60.66
Hydrogen,1,2,1,1,6.377,970238.992186,Beta,0.588,81.72
Boron,5,18,13,5,7.407,393172.947762,Gamma,0.938,93.17
Hydrogen,1,4,3,1,1.818,948572.880448,Beta,0.074,96.78
Beryllium,4,9,5,4,5.82,252680.825659,Gamma,0.542,80.66
Helium,2,5,3,2,1.109,inf,Stable,0.676,79.1
Helium,2,7,5,2,3.947,352944.367184,Beta,0.643,91.98
Fluorine,9,24,15,9,3.68,953367.616442,Beta,0.704,72.31
Carbon,6,24,18,6,2.621,94310.078365,Beta,0.289,78.25
Beryllium,4,8,4,4,6.595,833528.88428,Alpha,0.591,97.06
Neon,10,23,13,10,5.308,489976.173297,Beta,0.807,61.18
Nitrogen,7,17,10,7,3.602,404159.108608,Alpha,0.422,77.8
Nitrogen,7,19,12,7,9.54,479833.37533,Spontaneous Fission,0.535,86.26
Carbon,6,20,14,6,7.529,397100.647835,Gamma,0.94,50.55
Oxygen,8,28,20,8,9.618,inf,Stable,0.133,67.81
Nitrogen,7,16,9,7,7.356,993373.114108,Gamma,0.443,55.94
Neon,10,26,16,10,7.748,968789.7145,Beta,0.372,82.97
Hydrogen,1,3,2,1,9.619,367080.402949,Alpha,0.865,65.69
Oxygen,8,21,13,8,4.594,inf,Stable,0.142,53.82
Neon,10,33,23,10,6.609,480477.350453,Beta,0.378,78.38
Lithium,3,7,4,3,2.24,180056.293661,Alpha,0.959,93.55
Boron,5,13,8,5,8.412,inf,Stable,0.145,68.37
Helium,2,4,2,2,9.294,550598.715122,Spontaneous Fission,0.782,61.79
Beryllium,4,14,10,4,6.114,303803.43019,Spontaneous Fission,0.725,63.22
Oxygen,8,25,17,8,3.599,332576.773135,Spontaneous Fission,0.232,94.08
Hydrogen,1,3,2,1,2.166,179453.328876,Alpha,0.095,87.33
Carbon,6,21,15,6,5.37,510953.549961,Beta,0.346,57.9
Lithium,3,12,9,3,2.629,inf,Stable,0.963,77.14
Nitrogen,7,17,10,7,6.269,305925.836027,Spontaneous Fission,0.181,96.4
Helium,2,4,2,2,8.488,605708.980984,Alpha,0.72,94.58
Hydrogen,1,4,3,1,6.997,7285.476414,Beta,0.516,95.47
Boron,5,17,12,5,5.305,400816.436528,Spontaneous Fission,0.168,56.2
Boron,5,12,7,5,1.912,540923.535916,Gamma,0.043,56.89
Neon,10,24,14,10,4.067,871972.054366,Alpha,0.81,89.35
Neon,10,20,10,10,7.438,inf,Stable,0.009,74.09
Hydrogen,1,3,2,1,8.045,208096.865963,Gamma,0.19,95.79
Oxygen,8,20,12,8,5.607,inf,Stable,0.754,57.46
Nitrogen,7,17,10,7,8.529,inf,Stable,0.152,52.06
Carbon,6,23,17,6,2.438,240522.160023,Alpha,0.462,86.28
Nitrogen,7,14,7,7,8.705,985379.988014,Gamma,0.83,97.87
Helium,2,7,5,2,7.826,477076.252867,Beta,0.804,93.7
Lithium,3,6,3,3,6.004,inf,Stable,0.878,67.61
Beryllium,4,13,9,4,4.93,797574.473455,Alpha,0.504,80.21
Oxygen,8,24,16,8,4.169,inf,Stable,0.741,61.47
Fluorine,9,29,20,9,8.981,826283.360144,Beta,0.826,88.68
Fluorine,9,21,12,9,9.427,91625.518357,Beta,0.379,63.5
Fluorine,9,23,14,9,8.752,287042.987319,Spontaneous Fission,0.795,94.28
Neon,10,27,17,10,5.08,787204.242848,Spontaneous Fission,0.436,74.56
Lithium,3,9,6,3,8.236,376430.860997,Spontaneous Fission,0.608,74.82
Nitrogen,7,19,12,7,2.514,inf,Stable,0.779,65.69
Fluorine,9,18,9,9,3.104,496597.83933,Alpha,0.156,90.43
Boron,5,11,6,5,9.701,122625.108935,Beta,0.345,66.34
Hydrogen,1,2,1,1,8.839,262803.239484,Spontaneous Fission,0.84,80.81
Neon,10,34,24,10,9.634,949224.865891,Gamma,0.507,57.72
Helium,2,6,4,2,8.535,515459.522607,Alpha,0.024,70.81
Helium,2,5,3,2,9.238,95523.332726,Gamma,0.025,87.08
Fluorine,9,18,9,9,7.623,384619.218672,Gamma,0.638,78.71
Hydrogen,1,3,2,1,6.073,713166.794391,Gamma,0.289,68.22
Nitrogen,7,14,7,7,9.24,184637.922595,Alpha,0.585,68.61
Nitrogen,7,22,15,7,5.246,474954.007609,Alpha,0.956,66.77
Oxygen,8,32,24,8,5.632,263524.381953,Alpha,0.15,69.81
Hydrogen,1,2,1,1,5.186,479507.29813,Alpha,0.984,64.21
Boron,5,10,5,5,5.003,934506.558844,Gamma,0.412,80.89
Carbon,6,14,8,6,5.669,inf,Stable,0.932,93.05
Carbon,6,23,17,6,8.982,inf,Stable,0.198,84.7
Hydrogen,1,3,2,1,6.546,482335.95831,Spontaneous Fission,0.012,75.86
Nitrogen,7,20,13,7,3.952,801488.97763,Spontaneous Fission,0.581,96.11
Oxygen,8,24,16,8,8.579,581091.707475,Gamma,0.876,75.51
Beryllium,4,15,11,4,4.719,238779.958956,Beta,0.8,60.04
Helium,2,5,3,2,8.379,563776.640986,Spontaneous Fission,0.626,99.32
Beryllium,4,13,9,4,1.545,788838.843061,Alpha,0.468,87.59
Fluorine,9,23,14,9,8.764,295025.404334,Gamma,0.82,59.46
Hydrogen,1,4,3,1,2.07,inf,Stable,0.881,98.36
Carbon,6,14,8,6,2.718,739035.927876,Alpha,0.584,97.78
Nitrogen,7,22,15,7,9.549,997288.502617,Alpha,0.717,50.67
Lithium,3,8,5,3,6.546,129451.021119,Beta,0.702,99.07
Carbon,6,18,12,6,9.255,223947.945874,Gamma,0.906,90.24
Boron,5,15,10,5,4.623,inf,Stable,0.531,78.94
Lithium,3,11,8,3,5.059,126558.913776,Gamma,0.431,80.21
Carbon,6,22,16,6,6.199,inf,Stable,0.296,77.44
Beryllium,4,13,9,4,6.495,inf,Stable,0.576,56.82
Beryllium,4,10,6,4,7.954,793166.767489,Gamma,0.156,52.71
Oxygen,8,23,15,8,1.993,924441.050017,Spontaneous Fission,0.083,83.48
Nitrogen,7,26,19,7,7.159,510610.957255,Spontaneous Fission,0.716,97.4
Neon,10,22,12,10,4.035,612393.442518,Beta,0.828,57.51
Hydrogen,1,4,3,1,4.4,942491.514936,Spontaneous Fission,0.223,58.23
Fluorine,9,26,17,9,4.01,172387.265118,Beta,0.697,80.64
Fluorine,9,32,23,9,6.005,451554.401744,Alpha,0.211,51.29
Hydrogen,1,3,2,1,9.215,414236.05348,Gamma,0.416,84.26
Beryllium,4,12,8,4,4.82,297464.047593,Spontaneous Fission,0.208,87.7
Neon,10,25,15,10,4.481,484952.434877,Spontaneous Fission,0.363,50.09
Carbon,6,15,9,6,4.739,426189.841435,Alpha,0.208,96.98
Oxygen,8,17,9,8,2.797,438792.854365,Alpha,0.662,86.75
Hydrogen,1,3,2,1,4.945,inf,Stable,0.114,85.82
Lithium,3,11,8,3,5.859,249934.829469,Beta,0.547,69.03
Carbon,6,16,10,6,3.07,409869.103679,Gamma,0.87,52.1
Hydrogen,1,2,1,1,8.525,503839.336563,Gamma,0.481,92.01
Hydrogen,1,2,1,1,2.033,664605.058646,Beta,0.364,98.35
Beryllium,4,16,12,4,9.088,2606.487295,Gamma,0.695,84.37
Hydrogen,1,2,1,1,7.816,541473.278416,Beta,0.305,95.82
Lithium,3,8,5,3,6.409,766306.809221,Gamma,0.68,76.77
Neon,10,38,28,10,9.534,583938.06058,Spontaneous Fission,0.919,74.9
Neon,10,40,30,10,8.942,475768.693238,Spontaneous Fission,0.423,65.18
Beryllium,4,8,4,4,3.775,22626.169693,Gamma,0.783,85.52
Beryllium,4,15,11,4,1.568,inf,Stable,0.586,58.08
Hydrogen,1,4,3,1,5.405,934574.773281,Gamma,0.627,67.79
Lithium,3,7,4,3,3.105,inf,Stable,0.545,67.12
Oxygen,8,16,8,8,8.443,79705.423038,Beta,0.892,80.72
Fluorine,9,31,22,9,3.689,948646.654127,Alpha,0.082,84.41
Lithium,3,11,8,3,5.416,162380.016428,Alpha,0.451,50.8
Hydrogen,1,2,1,1,1.573,inf,Stable,0.722,93.01
Boron,5,18,13,5,3.98,inf,Stable,0.103,72.01
Beryllium,4,10,6,4,6.21,622796.767852,Beta,0.452,74.61
Nitrogen,7,17,10,7,6.372,720993.459072,Spontaneous Fission,0.922,79.74
Boron,5,14,9,5,1.82,677527.492602,Beta,0.575,99.72
Nitrogen,7,25,18,7,7.838,inf,Stable,0.251,92.02
Carbon,6,16,10,6,2.515,682020.665,Alpha,0.944,61.38
Boron,5,18,13,5,1.801,170751.465182,Spontaneous Fission,0.374,87.35
Fluorine,9,27,18,9,3.973,789532.411101,Beta,0.685,87.93
Beryllium,4,10,6,4,7.586,inf,Stable,0.775,88.81
Helium,2,8,6,2,9.299,485516.419874,Beta,0.495,93.26
Nitrogen,7,18,11,7,4.056,275749.880114,Beta,0.728,76.73
Fluorine,9,21,12,9,4.327,742512.013394,Beta,0.443,94.62
Helium,2,4,2,2,7.465,401407.134921,Beta,0.754,74.71
Lithium,3,11,8,3,8.314,769261.032689,Beta,0.811,79.78
Hydrogen,1,2,1,1,6.118,449555.450191,Spontaneous Fission,0.825,56.36
Carbon,6,19,13,6,5.267,548813.27834,Beta,0.898,65.78
Neon,10,29,19,10,2.802,901333.150816,Beta,0.473,65.93
Fluorine,9,21,12,9,7.0,35401.501338,Beta,0.39,84.78
Fluorine,9,21,12,9,2.109,inf,Stable,0.454,58.05
Beryllium,4,10,6,4,6.511,inf,Stable,0.245,90.19
Lithium,3,7,4,3,2.071,46799.320814,Spontaneous Fission,0.45,62.45
Helium,2,6,4,2,8.436,932808.64986,Gamma,0.596,66.71
